val_loss,val_rmse,val_mape,val_rmse(m),val_mape(m),epoch,step,train_loss,train_rmse,train_mape,train_rmse(m),train_mape(m)
52.82099151611328,6.650746822357178,359621.9375,7.512872695922852,12040.1962890625,0,123,,,,,
,,,,,0,123,74.5894775390625,8.327554702758789,1151548.625,9.287541389465332,10308.072265625
41.990806579589844,5.845736980438232,73053.1953125,6.687343120574951,5977.6123046875,1,247,,,,,
,,,,,1,247,61.49479293823242,7.494264602661133,209298.46875,8.558395385742188,11684.330078125
35.47278594970703,5.328281879425049,27463.8671875,6.117060661315918,4420.81591796875,2,371,,,,,
,,,,,2,371,51.287452697753906,6.830210208892822,42023.73828125,7.840881824493408,4690.21875
31.520076751708984,5.004941940307617,17046.376953125,5.753195285797119,3647.177490234375,3,495,,,,,
,,,,,3,495,45.072357177734375,6.400482177734375,22604.990234375,7.357948303222656,3803.08056640625
28.582502365112305,4.751917362213135,19041.072265625,5.466621398925781,3733.880615234375,4,619,,,,,
,,,,,4,619,40.68019104003906,6.079564571380615,18197.904296875,6.9934868812561035,3444.131591796875
26.458621978759766,4.57493782043457,14138.591796875,5.26444149017334,3377.173095703125,5,743,,,,,
,,,,,5,743,37.324459075927734,5.821760654449463,16200.927734375,6.699906349182129,3341.513916015625
24.86655044555664,4.4484028816223145,18861.80078125,5.119457244873047,4201.90673828125,6,867,,,,,
,,,,,6,867,34.59724807739258,5.601010322570801,14446.5419921875,6.44818639755249,3210.63134765625
23.286697387695312,4.29042911529541,10657.302734375,4.941158771514893,3237.085693359375,7,991,,,,,
,,,,,7,991,32.30695343017578,5.414379596710205,14239.35546875,6.2351484298706055,3081.15185546875
22.29245376586914,4.207762718200684,15494.072265625,4.845394611358643,3156.388671875,8,1115,,,,,
,,,,,8,1115,30.258710861206055,5.238029956817627,13518.0830078125,6.034030914306641,2999.957763671875
21.355581283569336,4.135405540466309,22759.5234375,4.761228561401367,4048.411376953125,9,1239,,,,,
,,,,,9,1239,28.489656448364258,5.082221984863281,13986.5751953125,5.856165409088135,3011.926513671875
20.719886779785156,4.08714485168457,14697.998046875,4.707029342651367,3581.969970703125,10,1363,,,,,
,,,,,10,1363,26.8427677154541,4.9311299324035645,13455.4052734375,5.683798789978027,2990.461669921875
20.29119873046875,4.059456825256348,16128.3359375,4.6728644371032715,3831.96435546875,11,1487,,,,,
,,,,,11,1487,25.43999671936035,4.799677848815918,13220.8525390625,5.5339531898498535,2955.16064453125
19.25201416015625,3.938993453979492,13207.333984375,4.538636684417725,3111.365966796875,12,1611,,,,,
,,,,,12,1611,24.132566452026367,4.674713134765625,12211.0712890625,5.39157247543335,2913.079345703125
19.103675842285156,3.950317859649658,14358.2958984375,4.549184322357178,3287.1015625,13,1735,,,,,
,,,,,13,1735,22.967666625976562,4.560481548309326,12186.01953125,5.261353969573975,2908.435302734375
18.436092376708984,3.8659372329711914,11284.6650390625,4.4547834396362305,3127.566650390625,14,1859,,,,,
,,,,,14,1859,21.887737274169922,4.447864532470703,11775.9716796875,5.132930755615234,2883.21630859375
17.835023880004883,3.8212735652923584,10696.3564453125,4.402339458465576,3149.714599609375,15,1983,,,,,
,,,,,15,1983,20.918521881103516,4.3510847091674805,11803.603515625,5.022668838500977,2873.157470703125
17.3336181640625,3.7663464546203613,11909.9189453125,4.340513229370117,3064.86181640625,16,2107,,,,,
,,,,,16,2107,20.01575469970703,4.254729270935059,11510.181640625,4.912788391113281,2850.74072265625
17.33865737915039,3.769996166229248,12651.478515625,4.343116760253906,3241.926025390625,17,2231,,,,,
,,,,,17,2231,19.389196395874023,4.188665866851807,13894.4404296875,4.835562229156494,2879.3623046875
16.5048885345459,3.675105094909668,12853.3984375,4.236690521240234,3484.3623046875,18,2355,,,,,
,,,,,18,2355,18.453792572021484,4.081752777099609,11599.861328125,4.715187072753906,2857.5439453125
16.225006103515625,3.645503520965576,11742.0400390625,4.202831268310547,3423.95556640625,19,2479,,,,,
,,,,,19,2479,17.69305419921875,3.998532295227051,11327.8974609375,4.620608329772949,2864.23095703125
16.33840560913086,3.6746580600738525,9650.7314453125,4.234192371368408,2920.3740234375,20,2603,,,,,
,,,,,20,2603,16.986221313476562,3.9162979125976562,11302.591796875,4.526899337768555,2834.33349609375
15.990410804748535,3.625777244567871,12363.7490234375,4.178848743438721,3295.490478515625,21,2727,,,,,
,,,,,21,2727,16.38216781616211,3.846346378326416,11542.7548828125,4.44723653793335,2828.401611328125
15.543307304382324,3.556248426437378,12380.802734375,4.101459503173828,3234.045654296875,22,2851,,,,,
,,,,,22,2851,15.764510154724121,3.7742843627929688,11369.7421875,4.365273952484131,2824.788818359375
