val_loss,val_rmse,val_mape,val_rmse(m),val_mape(m),epoch,step,train_loss,train_rmse,train_mape,train_rmse(m),train_mape(m)
9.736801147460938,2.8311731815338135,24845.287109375,3.388936996459961,10987.037109375,24,1124,,,,,
,,,,,24,1124,6.733503341674805,2.5914645195007324,22092.99609375,3.1010637283325195,9842.505859375
9.034491539001465,2.765733003616333,32360.7421875,3.309493064880371,12661.603515625,25,1169,,,,,
,,,,,25,1169,6.711324214935303,2.587003707885742,22391.333984375,3.095085859298706,9882.166015625
8.367737770080566,2.6543397903442383,25566.048828125,3.193681478500366,9536.982421875,26,1214,,,,,
,,,,,26,1214,6.495703220367432,2.5447280406951904,23360.2265625,3.049912929534912,9886.509765625
8.676441192626953,2.6684608459472656,24758.791015625,3.2136294841766357,9300.52734375,27,1259,,,,,
,,,,,27,1259,6.452509880065918,2.536243200302124,23587.486328125,3.0400030612945557,9858.1533203125
9.0276460647583,2.75836443901062,24655.455078125,3.3083314895629883,10118.75,28,1304,,,,,
,,,,,28,1304,6.144482612609863,2.4764909744262695,21940.2265625,2.9784843921661377,9828.4091796875
8.512123107910156,2.648228883743286,24827.666015625,3.192902088165283,11033.6123046875,29,1349,,,,,
,,,,,29,1349,6.276957988739014,2.5015718936920166,23316.505859375,3.000868558883667,10748.046875
8.666719436645508,2.682037591934204,26874.951171875,3.227116107940674,11017.326171875,30,1394,,,,,
,,,,,30,1394,6.127612590789795,2.4724996089935303,23496.318359375,2.971440076828003,10683.33984375
8.684514999389648,2.6836905479431152,23308.580078125,3.2318129539489746,10255.9384765625,31,1439,,,,,
,,,,,31,1439,5.739863872528076,2.393188953399658,21972.611328125,2.890498161315918,9673.5771484375
8.801297187805176,2.6817800998687744,21641.787109375,3.2312331199645996,8212.7490234375,32,1484,,,,,
,,,,,32,1484,5.65676212310791,2.374943971633911,21237.21875,2.8703811168670654,9796.85546875
8.979883193969727,2.7234976291656494,21287.845703125,3.2735867500305176,8839.9228515625,33,1529,,,,,
,,,,,33,1529,5.503267765045166,2.3428966999053955,21862.052734375,2.8363335132598877,9655.021484375
9.734688758850098,2.8325181007385254,20771.80859375,3.3917465209960938,7397.55078125,34,1574,,,,,
,,,,,34,1574,5.353553771972656,2.3103880882263184,20814.119140625,2.8027286529541016,9655.6123046875
9.666876792907715,2.832496166229248,34434.1328125,3.390754222869873,11365.080078125,35,1619,,,,,
,,,,,35,1619,5.415153980255127,2.323723077774048,21361.865234375,2.815091133117676,9616.2666015625
9.576667785644531,2.8092565536499023,18590.708984375,3.365568161010742,7348.470703125,36,1664,,,,,
,,,,,36,1664,5.10402250289917,2.2560319900512695,20901.0859375,2.7453622817993164,9477.6875
9.098676681518555,2.752960443496704,20798.783203125,3.3046865463256836,8379.7255859375,37,1709,,,,,
,,,,,37,1709,5.106820583343506,2.2570745944976807,21199.388671875,2.7455663681030273,9571.5517578125
12.321507453918457,3.238138198852539,20366.732421875,3.8215792179107666,9040.142578125,38,1754,,,,,
,,,,,38,1754,4.983885288238525,2.230112314224243,20511.5078125,2.7172486782073975,9092.06640625
8.986089706420898,2.732595682144165,24958.482421875,3.2838916778564453,9848.9833984375,39,1799,,,,,
,,,,,39,1799,5.259226322174072,2.2897696495056152,23695.76953125,2.7770068645477295,10035.599609375
